Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Emmanuel Mudiay,22,3381480,3241800,3102240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Jack,34,2328652,1551659,6300000,6300000,6300000,5400000,5000000,4600000,4500000,2002623,1217400,1137960,1058640,0,0,0,0,0,0
Michael Beasley,29,2116955,1403611,306527,330226,1027424,5750000,6262347,4962240,4638600,0,0,0,0,0,0,0,0,0,0
Damyean Dotson,23,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mindaugas Kuzminskas,28,3025035,2898000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramon Sessions,31,2328652,6000000,2170465,2077000,0,0,4257973,3964320,3670667,722517,427163,0,0,0,0,0,0,0,0
Chasson Randle,25,1312611,243860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Plumlee,25,100000,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,29,28530608,26540100,16744218,15719062,14693906,13668750,5082416,4017720,3755640,3493680,0,0,0,0,0,0,0,0,0
Carmelo Anthony,33,26243760,24559380,22875000,22458000,22407474,19450000,18518574,17149243,15779912,14410581,13041250,0,3713640,0,3229200,0,0,0,0
Steven Adams,24,22471910,3140517,2279040,2184960,2090880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul George,27,19508958,18314532,17120106,15925680,3282003,2574120,2406240,2238360,0,0,0,0,0,0,0,0,0,0,0
Andre Roberson,26,9259259,2183072,1210800,1160880,1110840,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Abrines,24,5725000,5994764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Patterson,29,5192000,6050000,6268675,5831326,3105302,2096760,1959960,1823280,0,0,0,0,0,0,0,0,0,0,0
Kyle Singler,29,4666500,4837500,5000000,1090000,1045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Collison,37,2328652,3750000,3750000,2242003,2585668,2929332,3272997,13250000,6250000,6350000,5750000,2501070,1815000,1969680,1578240,0,0,0,0
Raymond Felton,33,2328652,1551659,3950313,3793693,3637073,3480453,7560000,7500000,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,19,1785000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerami Grant,24,1524305,980431,845059,884879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Huestis,26,1471382,1191480,1140240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakari Johnson,22,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Price,34,2442455,2557545,1499187,1316809,1265977,0,1069509,1380000,1250000,1188000,1100000,664209,398762,0,0,0,0,0,0
Evan Fournier,25,17000000,17000000,2288205,1483920,1422720,1361400,0,0,0,0,0,0,0,0,0,0,0,0,0
Bismack Biyombo,25,17000000,17000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Vucevic,27,12250000,11750000,11250000,2751260,1793520,1768800,1645400,0,0,0,0,0,0,0,0,0,0,0,0
Terrence Ross,27,10500000,10000000,3553917,2793960,2678640,2563320,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Augustin,30,7250000,7250000,3000000,3000000,1267000,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathon Simmons,28,6300000,874636,525093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelvin Mack,27,6000000,2433334,2433333,2433333,884293,89670,473604,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Gordon,22,5504420,4351320,4171680,3992040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Isaac,20,4186320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Hezonja,23,4078320,3909840,3741480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,32,2328652,12500000,8000000,7750000,7312500,7750000,7562500,1959577,1086240,1015440,944520,0,0,0,0,0,0,0,0
Marreese Speights,30,2116955,1403611,3815000,3657500,3500000,4200000,2721255,1773960,1658280,1542600,0,0,0,0,0,0,0,0,0
Wesley Iwundu,23,1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khem Birch,25,815615,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Watson,33,333334,5000000,5000000,2106720,2016000,0,3400000,3100000,1000497,0,125479,0,0,0,0,0,0,0,0
J.J. Redick,33,23000000,7377500,6867000,6583500,6300000,6190000,6750000,7250000,2839408,2139720,2000160,1860720,0,0,0,0,0,0,0
Robert Covington,27,16698103,1015696,1000000,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,30,11000000,12000000,12000000,7000000,6500000,6000000,5500000,5000000,3666666,3666667,3666666,664209,398762,0,0,0,0,0,0
Jerryd Bayless,29,9000000,9424084,3000000,3000000,3135000,3000000,3042280,2292600,2143080,1993560,0,0,0,0,0,0,0,0,0
Markelle Fultz,19,7026240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Simmons,21,6168840,5903160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Embiid,24,6100266,4826160,4626960,4427640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dario Saric,23,2422560,2318280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,24,1579440,1514160,1449000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. McConnell,26,1471382,874636,525093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richaun Holmes,24,1471382,1025831,1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Korkmaz,20,1465920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothe Luwawu-Cabarrot,22,1386600,1326960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Booker,30,9125000,9250000,4775000,5000000,2350820,1385280,1294920,1204560,0,0,0,0,0,0,0,0,0,0,0
Gerald Henderson,30,1000000,9000000,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tibor Pleiss,28,500000,3000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Knight,26,13618750,12606250,12000000,3553917,2793960,0,2563320,0,0,0,0,0,0,0,0,0,0,0,0
Tyson Chandler,35,13000000,12415000,13000000,14598888,14100538,13604188,13107837,12600000,0,11350000,10250000,9150000,9000000,0,3804360,3556200,3308160,0,0
Jared Dudley,32,10000000,10470000,4250000,4250000,4250000,4250000,4250000,0,1307640,1222320,0,0,0,0,0,0,0,0,0
Alan Williams,25,6000000,874636,114285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Jackson,21,5090040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragan Bender,20,4468800,4276320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Len,24,4187599,4823621,3807120,3649920,3492720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Daniels,26,3408520,3332940,947276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elfrid Payton,24,3332340,2613600,2505720,2397840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Warren,24,3152931,2128920,2041080,1953120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquese Chriss,20,3073800,2941440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Booker,21,2319360,2223600,2127840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Ulis,22,1312611,918369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davon Reed,22,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Jones,21,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Barbosa,35,500000,4000000,2500000,1448490,0,1229255,7600000,7100000,6600000,6100000,5600000,1679733,0,870000,809280,0,0,0,0
Damian Lillard,27,26153057,24328425,4236287,3340920,3202920,3065040,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. McCollum,26,23962573,3219579,2525160,2421000,2316720,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Turner,29,17131148,16393443,3425510,3278000,6679867,5293080,4947840,4602720,0,0,0,0,0,0,0,0,0,0,0
Maurice Harkless,24,10162922,8988764,2894059,1887840,1809840,1731960,0,0,0,0,0,0,0,0,0,0,0,0,0
Meyers Leonard,26,9904495,9213484,3075880,2317920,2222160,2126520,0,0,0,0,0,0,0,0,0,0,0,0,0
Al-Farouq Aminu,27,7319035,7680965,7500000,981084,3700000,2947800,2755560,2563320,0,0,0,0,0,0,0,0,0,0,0
Ed Davis,28,6352531,6666667,7000000,981084,3153860,2207040,2063040,1919160,0,0,0,0,0,0,0,0,0,0,0
Zach Collins,20,3057240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jusuf Nurkic,23,2947305,1921320,1842000,1762680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shabazz Napier,26,2361360,1350120,1294440,1238640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat Connaughton,25,1471382,874636,525093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Swanigan,20,1465920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Layman,24,1312611,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Nicholson,28,2844429,6088993,2380594,1545840,1482000,1418160,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Varejao,35,1913345,1551659,458575,9704595,9036364,8368182,7700000,7281818,6300000,5784480,5356000,945600,866800,788000,0,0,0,0,0
Festus Ezeli,28,333334,7400000,2008748,1112880,1066920,1020960,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgios Papagiannis,20,2301360,2202240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Randolph,36,12307692,10361445,9638555,16500000,17800000,16500000,15200000,17666666,16000000,14666667,13333333,12000000,10666667,1504272,1172160,1095720,1019280,0,0
Iman Shumpert,27,10337079,9700000,9000000,2616975,1703760,1680360,1563120,0,0,0,0,0,0,0,0,0,0,0,0
Bogdan Bogdanovic,25,9470614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosta Koufos,29,8393000,8046500,7500000,3000000,3000000,3000000,2203792,1352640,1214040,1129320,0,0,0,0,0,0,0,0,0
Vince Carter,41,8000000,4264057,4088091,3911981,3180000,3090000,3000000,0,16300000,14724125,13320000,15101625,13843156,12584688,11326219,10067750,3073032,2425440,0
Garrett Temple,31,8000000,8000000,1100602,981084,916099,572943,0,98637,0,0,0,0,0,0,0,0,0,0,0
Willie Cauley-Stein,24,3704160,3551160,3398280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buddy Hield,24,3675480,3517200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Caboclo,22,2451225,1589640,1524000,1458360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jackson,23,2365560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Giles,19,1859400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skal Labissiere,22,1312611,1188840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Mason,23,1184385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barnes,38,2133542,383351,3542500,3396250,3250000,1229255,1906200,1765000,1600000,926678,3000000,771331,131593,695046,0,0,0,0,0
Caron Butler,38,517220,517220,1499187,4500000,8000000,8000000,8000000,10561960,9780970,9249980,8218990,7438000,2461617,1930680,1804680,1678800,0,0,0
LaMarcus Aldridge,32,21461010,20575005,19500000,16006000,14128000,13500000,12372000,11244000,5844827,4631400,4329360,4027320,0,0,0,0,0,0,0
Kawhi Leonard,26,18868625,17638063,16500000,2894059,1887840,1861920,1731960,0,0,0,0,0,0,0,0,0,0,0,0
Pau Gasol,37,16000000,15500000,7448760,0,19285850,19000000,18714150,17823000,16452000,15106000,13735000,12364000,10993000,4318481,3417000,3193680,2970840,0,0
Tony Parker,35,15453126,14445313,13437500,12500000,12500000,12500000,12500000,13500000,12600000,11550000,10500000,9450000,0,0,856200,800400,744480,0,0
Patty Mills,29,10714286,3578948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Green,30,10000000,10000000,10000000,4025000,3762500,3500000,854389,94154,457588,0,0,0,0,0,0,0,0,0,0
Rudy Gay,31,8406000,13333333,12403101,19317325,17888931,16460538,15032144,13603750,3280997,2579400,2411160,2242290,0,0,0,0,0,0,0
Manu Ginobili,40,2500000,14000000,2814000,7000000,7500000,14107492,12981038,11854584,10728130,9905248,9079811,8254375,0,0,1457500,1325000,0,0,0
Kyle Anderson,24,2151704,1192080,1142879,1093680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joffrey Lauvergne,26,1524305,1709720,1709720,1790280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick White,23,1404600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryn Forbes,24,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis Bertans,25,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejounte Murray,21,1312611,1180080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Paul,26,815615,155000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Duncan,41,1881250,1881250,5000000,10000000,10361446,9638554,21164619,18700000,22183220,20598704,19014188,17429672,0,0,12676125,12072500,10865250,0,0
Livio Jean-Charles,24,1035200,1188840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Lowry,32,28703704,12000000,12000000,12000000,6210000,5750000,5750000,5750000,2034997,1163520,1087680,1011720,0,0,0,0,0,0,0
DeMar DeRozan,28,27739975,26540100,9500000,9500000,9500000,3344250,2625000,2453880,2282640,0,0,0,0,0,0,0,0,0,0
Serge Ibaka,28,20061729,12250000,12350000,12350000,12250000,2253062,1288200,1204200,1120200,0,0,0,0,0,0,0,0,0,0
Jonas Valanciunas,25,15460675,14382022,4660482,3678360,3526440,3627720,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Miles,30,7936509,4583450,4394225,4205000,2225000,2225000,3700000,3700000,3700000,3700000,770610,0,398762,0,0,0,0,0,0
Lucas Nogueira,25,2947305,1921320,1842000,1762680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakob Poeltl,22,2825640,2703960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delon Wright,25,1645200,1577280,1509360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OG Anunoby,20,1645200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Richardson,22,1504560,1439880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman Powell,24,1471382,874636,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fred VanVleet,24,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Siakam,24,1312611,1196040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonzo McKinnie,25,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Hamilton,27,1000000,3000000,0,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.J. McDaniels,25,100000,3333333,3333333,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudy Gobert,25,21974719,2121288,1175880,1127400,1078800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Rubio,27,14275000,13550000,12365000,5070686,4002120,3741120,3480120,0,0,0,0,0,0,0,0,0,0,0,0
Joe Ingles,30,14136364,2250000,2250000,507336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Favors,26,12000000,11050000,11933333,12833333,6008196,4753320,4443360,4133280,0,0,0,0,0,0,0,0,0,0,0
Alec Burks,26,10845506,10154495,9213484,3034356,2202000,2171640,2020200,0,0,0,0,0,0,0,0,0,0,0,0
Jae Crowder,27,6796117,6286408,6000000,915243,788872,600491,0,0,0,0,0,0,0,0,0,0,0,0,0
Thabo Sefolosha,33,5250000,3850000,4000000,4150000,3900000,3600000,3300000,3250000,2759628,1931160,1805160,1679280,0,0,0,0,0,0,0
Dante Exum,22,4992385,3940320,3777720,3615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Jerebko,31,4000000,5000000,5000000,4500000,4500000,0,4500000,0,457588,0,0,0,0,0,0,0,0,0,0
Ekpe Udoh,30,3200000,0,0,981084,4469548,3524880,3294960,3065040,0,0,0,0,0,0,0,0,0,0,0
Donovan Mitchell,21,2621280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul Neto,25,1471382,937800,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Bradley,20,1414920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Rose,29,2116955,21323250,20093063,0,17632688,16402500,6993708,5546160,5184480,4822800,0,0,0,0,0,0,0,0,0
Otto Porter,24,24773250,5893981,4662960,4470480,4278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradley Beal,24,23775506,22116750,5694674,4505280,4319280,4133280,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wall,27,18063850,16957900,15851950,14746000,7459925,5915880,5530080,5144280,0,0,0,0,0,0,0,0,0,0,0
Ian Mahinmi,31,16661641,15944154,4000000,4000000,4000000,4000000,0,762196,1079640,1009200,938760,0,0,0,0,0,0,0,0
Marcin Gortat,34,12782609,12000000,11217391,10434782,7727280,7258960,6790640,0,5854000,711517,427163,0,0,0,0,0,0,0,0
Markieff Morris,28,8000000,7400000,8000000,2989239,2091840,2063040,1919160,0,0,0,0,0,0,0,0,0,0,0,0
Jason Smith,32,5225000,5000000,4300000,3278000,2500000,2500000,2500000,2187913,1418880,1326360,0,0,0,0,0,0,0,0,0
Jodie Meeks,30,3290000,6540000,6270000,6000000,1550000,1500000,854389,762195,650000,0,0,0,0,0,0,0,0,0,0
Tomas Satoransky,26,3000000,2870813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly Oubre,22,2093040,2006640,1920240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Frazier,27,2000000,2090000,144157,59686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,29,1709538,3333334,3333333,3333333,788872,473604,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris McCullough,23,1471382,1191480,1140240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martell Webster,31,830000,830000,5613500,5381750,5150000,600000,5256000,4800000,4344000,3771133,2974080,2780160,2586120,0,0,0,0,0,0
